Date,Close/Last,Volume,Open,High,Low,
12-13-2024,227.46,28768080,228.4,230.2,225.8608,#VALUE!
12-12-2024,228.97,28204080,229.83,231.09,227.63,
12-11-2024,230.26,35385790,226.41,231.2,226.26,
12-10-2024,225.04,31199860,226.09,229.06,224.2002,
12-09-2024,226.09,46819360,227.21,230.08,225.67,
12-06-2024,227.03,44178070,220.75,227.15,220.6,
12-05-2024,220.55,41140220,218.03,222.15,217.3,
12-04-2024,218.16,48745720,215.96,220,215.75,
12-03-2024,213.44,32214830,210.31,214.02,209.65,
12-02-2024,210.71,39523190,209.96,212.99,209.5101,
11-29-2024,207.89,24892450,205.83,208.2,204.59,
11-27-2024,205.74,28061640,206.98,207.64,205.05,
11-26-2024,207.86,41673740,201.9,208,201.79,
11-25-2024,201.45,40685670,199.28,201.9499,199,
11-22-2024,197.12,31530840,198.25,199.2599,196.75,
11-21-2024,198.38,58800040,203.49,203.49,195.75,
11-20-2024,202.88,32768990,202.98,203.13,199.45,
11-19-2024,204.61,31197870,199.33,205.3,198.78,
11-18-2024,201.7,36512470,204.15,204.67,200.95,
11-15-2024,202.61,86591140,206.76,207.34,199.61,
11-14-2024,211.48,42620310,214.16,215.9,210.88,
11-13-2024,214.1,46212940,209.4,215.09,209.14,
11-12-2024,208.91,38942920,208.37,209.54,206.01,
11-11-2024,206.84,35456010,208.5,209.65,205.59,
11-08-2024,208.18,36075850,209.72,209.9633,207.44,
11-07-2024,210.05,52878380,207.44,212.25,207.19,
11-06-2024,207.09,72292170,200.01,207.55,199.14,
11-05-2024,199.5,30564780,196.04,199.82,195.99,
11-04-2024,195.78,38492060,196.45,197.33,194.3101,
11-01-2024,197.93,99687850,199,200.5,197.02,
10-31-2024,186.4,75146760,190.51,190.6,185.23,
10-30-2024,192.73,37707550,194.695,195.61,192.42,
10-29-2024,190.83,35690160,188.58,191.4599,187.815,
10-28-2024,188.39,27930840,189.565,190.21,188.21,
10-25-2024,187.83,29362060,187.85,190.45,187.53,
10-24-2024,186.38,21647400,185.25,187.11,183.86,
10-23-2024,184.71,31937090,188.85,189.16,183.69,
10-22-2024,189.7,29650590,188.35,191.5201,186.975,
10-21-2024,189.07,24639390,188.05,189.46,186.4,
10-18-2024,188.99,37417670,187.15,190.74,186.28,
10-17-2024,187.53,25039410,188.22,188.94,186,
10-16-2024,186.89,23456810,187.05,187.78,185.61,
10-15-2024,187.69,32178930,187.63,188.41,184.58,
10-14-2024,187.54,22614410,189.78,189.83,187.36,
10-11-2024,188.82,25751560,186.63,189.9284,186.3,
10-10-2024,186.65,27785040,187.13,188.134,185.83,
10-09-2024,185.17,26343120,182.82,185.845,182.05,
10-08-2024,182.72,26372090,181.915,183.09,180.92,
10-07-2024,180.8,42364200,182.95,183.6,180.25,
10-04-2024,186.51,41079010,185.75,187.6,183.6,
10-03-2024,181.96,30204300,183.045,183.44,180.875,
10-02-2024,184.76,23704060,184.44,186.6,184.04,
10-01-2024,185.13,36044910,184.9,186.19,183.4519,
09-30-2024,186.33,41680400,187.14,188.49,184.65,
09-27-2024,187.97,36002320,190.68,190.9,187.34,
09-26-2024,191.16,36334850,194.31,194.53,189.54,
09-25-2024,192.53,26391140,193.75,193.9498,192.16,
09-24-2024,193.96,43478930,194.27,195.37,190.13,
09-23-2024,193.88,36993110,191.64,194.45,190.57,
09-20-2024,191.6,100378600,190.23,191.84,187.41,
09-19-2024,189.87,39543170,190.04,190.99,188.47,
09-18-2024,186.43,34448130,186.45,188.8,185.06,
09-17-2024,186.88,26091680,186.85,189.45,186.14,
09-16-2024,184.89,26065490,185.29,185.81,183.36,
09-13-2024,186.49,26495350,187,188.5,185.91,
09-12-2024,187,33622480,184.8,187.41,183.54,
09-11-2024,184.52,42564700,180.095,184.99,175.73,
09-10-2024,179.55,36233800,177.49,180.5,176.79,
09-09-2024,175.4,29037360,174.53,175.85,173.51,
09-06-2024,171.39,41466540,177.24,178.38,171.16,
09-05-2024,177.89,40170530,175,179.875,174.995,
09-04-2024,173.33,30309230,174.48,175.98,172.54,
09-03-2024,176.25,37817510,177.55,178.26,175.26,
08-30-2024,178.5,43429360,172.78,178.9,172.6,
08-29-2024,172.12,26407820,173.22,174.29,170.81,
08-28-2024,170.8,29045030,173.69,173.69,168.92,
08-27-2024,173.12,29841980,174.15,174.89,172.25,
08-26-2024,175.5,22366240,176.7,177.4682,174.3,
08-23-2024,177.04,29150090,177.34,178.9699,175.24,
08-22-2024,176.13,32047480,181.38,181.47,175.68,
08-21-2024,180.11,35599120,179.92,182.385,178.8937,
08-20-2024,178.88,26255200,177.92,179.01,177.4308,
08-19-2024,178.22,31129810,177.64,178.3,176.16,
08-16-2024,177.06,31489180,177.04,178.34,176.2601,
08-15-2024,177.59,51698510,174.86,177.91,173.99,
08-14-2024,170.1,28843800,172.11,172.28,168.86,
08-13-2024,170.23,39237920,167.81,171.04,167.1,
08-12-2024,166.8,30072790,168.14,168.55,166.1101,
08-09-2024,166.94,36401050,166.4,168.55,165.85,
08-08-2024,165.8,44616210,165.165,166.6899,162.55,
08-07-2024,162.77,48408240,166.55,167.58,161.43,
08-06-2024,161.93,59950830,161.71,165.08,158.5404,
08-05-2024,161.02,83149440,154.21,162.96,151.61,
08-02-2024,167.9,141448400,166.75,168.77,160.55,
08-01-2024,184.07,70435640,189.285,190.6,181.87,
07-31-2024,186.98,41667330,185.05,187.94,184.46,
07-30-2024,181.71,39508570,184.72,185.86,179.38,
07-29-2024,183.2,33270120,183.84,184.75,182.38,
07-26-2024,182.5,29505960,180.39,183.19,180.24,
07-25-2024,179.85,44464160,182.91,183.8958,176.8,
07-24-2024,180.83,41532360,183.2,185.45,180.41,
07-23-2024,186.41,47537670,184.1,189.39,183.56,
07-22-2024,182.55,39931920,185,185.06,182.48,
07-19-2024,183.13,43081830,181.14,184.93,180.11,
07-18-2024,183.75,51043630,189.59,189.68,181.448,
07-17-2024,187.93,48076140,191.35,191.58,185.99,
07-16-2024,193.02,33994710,195.59,196.62,192.24,
07-15-2024,192.72,40683230,194.56,196.19,190.83,
07-12-2024,194.49,30598530,194.8,196.47,193.8301,
07-11-2024,195.05,44565040,200.09,200.2699,192.86,
07-10-2024,199.79,32883750,199.995,200.11,197.69,
07-09-2024,199.34,32756740,199.4,200.57,199.045,
07-08-2024,199.29,34767260,200.04,201.2,197.96,
07-05-2024,200,39858890,198.65,200.55,198.17,
07-03-2024,197.59,31597930,199.94,200.029,196.7601,
07-02-2024,200,45600010,197.28,200.43,195.93,
07-01-2024,197.2,41192010,193.49,198.2957,192.82,
06-28-2024,193.25,76930190,197.73,198.85,192.5,
06-27-2024,197.85,74397490,195.005,199.84,194.2,
06-26-2024,193.61,65103890,186.92,194.8,186.26,
06-25-2024,186.34,45898480,186.81,188.84,185.42,
06-24-2024,185.57,50610380,189.33,191,185.33,
06-21-2024,189.08,72931750,187.8,189.275,185.86,
06-20-2024,186.1,44726780,182.91,186.51,182.72,
06-18-2024,182.81,36659160,183.735,184.29,181.43,
06-17-2024,184.06,35601910,182.52,185,181.22,
06-14-2024,183.66,25456410,183.08,183.72,182.23,
